               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074768,            0.027218,            0.048249,             0.39282,             0.60845,             0.45999,             0.23489,            0.051902,           0.0090136,            0.033745,            0.070227,           0.0033081,           0.0033081
                   1,            0.052763,            0.018348,            0.030626,             0.47088,              0.6745,             0.58414,             0.31877,            0.045872,           0.0073398,            0.017613,            0.040096,           0.0065099,           0.0065099
                   2,            0.048868,            0.016393,             0.02132,             0.66987,             0.76184,             0.77669,             0.43548,            0.044012,           0.0066431,             0.01616,           0.0098323,           0.0095797,           0.0095797
                   3,            0.044871,            0.016052,            0.021115,             0.57418,             0.69851,              0.6696,             0.38735,            0.042469,           0.0089171,            0.021024,            0.009406,            0.009406,            0.009406
                   4,            0.040962,            0.016314,            0.019574,             0.83161,             0.79854,             0.87737,             0.56155,            0.036041,           0.0075514,            0.014965,            0.009406,            0.009406,            0.009406
                   5,             0.03852,            0.016339,            0.019131,             0.78367,              0.7482,             0.83304,             0.56373,            0.031427,           0.0080823,            0.016356,            0.009208,            0.009208,            0.009208
                   6,            0.037488,            0.016722,            0.019492,             0.79877,             0.72137,             0.82094,             0.57079,            0.031893,           0.0081561,            0.017171,             0.00901,             0.00901,             0.00901
                   7,            0.036555,            0.015987,            0.019068,              0.8806,             0.79631,             0.88922,             0.62803,            0.032419,           0.0073081,            0.015681,            0.008812,            0.008812,            0.008812
                   8,            0.033112,            0.015712,            0.017246,              0.8528,             0.78121,             0.87702,             0.63494,             0.03114,           0.0077835,            0.016325,            0.008614,            0.008614,            0.008614
                   9,            0.034347,            0.015154,            0.016329,             0.86029,             0.79084,             0.88404,             0.63908,            0.030885,           0.0077107,            0.013931,            0.008416,            0.008416,            0.008416
                  10,            0.033198,            0.015422,            0.014992,             0.83918,             0.81399,             0.87832,             0.64818,            0.029697,           0.0074161,            0.013156,            0.008218,            0.008218,            0.008218
                  11,            0.033116,            0.015506,            0.015351,             0.86843,             0.84639,             0.90998,             0.64788,            0.029467,           0.0068915,           0.0094411,             0.00802,             0.00802,             0.00802
                  12,            0.032486,            0.014707,            0.012755,             0.88695,             0.85807,             0.93118,             0.71848,            0.029051,           0.0064886,            0.012592,            0.007822,            0.007822,            0.007822
                  13,             0.03108,            0.014328,            0.013706,              0.8984,              0.8333,             0.93577,             0.67275,            0.028021,           0.0068887,            0.013147,            0.007624,            0.007624,            0.007624
                  14,            0.030005,            0.014719,            0.014177,              0.9001,             0.89379,             0.93118,             0.70749,            0.028096,           0.0065946,            0.011141,            0.007426,            0.007426,            0.007426
                  15,            0.029466,            0.013882,            0.012599,             0.93318,              0.8893,              0.9499,             0.73532,            0.025999,           0.0065976,           0.0089382,            0.007228,            0.007228,            0.007228
                  16,            0.029614,            0.014336,            0.011599,             0.92156,             0.85924,              0.9506,             0.74824,            0.026086,           0.0061863,           0.0099694,             0.00703,             0.00703,             0.00703
                  17,            0.028474,            0.013321,             0.01123,             0.90535,             0.88008,             0.94756,             0.75724,            0.025603,           0.0063104,           0.0098049,            0.006832,            0.006832,            0.006832
                  18,            0.028012,            0.013271,            0.010337,             0.93851,             0.89505,             0.95752,             0.74704,             0.02436,           0.0061398,           0.0084129,            0.006634,            0.006634,            0.006634
                  19,            0.027534,            0.013159,           0.0096348,             0.93249,               0.898,              0.9569,             0.76552,            0.023934,           0.0060917,           0.0072953,            0.006436,            0.006436,            0.006436
                  20,            0.026186,            0.012825,           0.0088046,             0.91291,             0.89095,              0.9521,             0.76774,            0.023571,           0.0062035,            0.010016,            0.006238,            0.006238,            0.006238
                  21,            0.025237,             0.01272,           0.0094554,             0.90453,             0.87219,             0.94451,             0.76773,            0.023423,           0.0062291,           0.0085445,             0.00604,             0.00604,             0.00604
                  22,            0.026387,            0.012991,            0.010564,             0.93318,             0.90744,             0.95957,             0.78607,            0.022705,            0.006058,           0.0074786,            0.005842,            0.005842,            0.005842
                  23,            0.025417,            0.012828,           0.0094265,             0.91985,             0.91305,             0.96232,             0.78667,            0.023056,           0.0059934,           0.0087503,            0.005644,            0.005644,            0.005644
                  24,            0.024889,             0.01288,           0.0090351,             0.96073,             0.90671,             0.96474,             0.78749,            0.022562,           0.0057729,           0.0066533,            0.005446,            0.005446,            0.005446
                  25,            0.023986,            0.012479,           0.0079869,             0.94724,             0.90849,             0.96571,              0.8029,             0.02256,           0.0055719,           0.0078205,            0.005248,            0.005248,            0.005248
                  26,            0.024422,            0.012085,           0.0073747,             0.91438,             0.92045,              0.9606,             0.79716,            0.022525,           0.0056243,           0.0081755,             0.00505,             0.00505,             0.00505
                  27,            0.023344,            0.011981,           0.0082421,             0.95464,             0.91177,             0.96425,             0.80655,            0.021743,            0.005681,           0.0087626,            0.004852,            0.004852,            0.004852
                  28,            0.022995,             0.01177,           0.0080024,             0.94366,             0.92394,             0.96531,             0.81121,            0.020477,           0.0056092,           0.0079588,            0.004654,            0.004654,            0.004654
                  29,            0.023232,            0.011827,           0.0071765,              0.9306,             0.92272,             0.96862,             0.80597,            0.021197,           0.0054685,           0.0098369,            0.004456,            0.004456,            0.004456
                  30,            0.021846,            0.011526,           0.0065171,             0.92749,             0.92414,             0.96592,             0.81618,            0.020959,           0.0055104,           0.0093622,            0.004258,            0.004258,            0.004258
                  31,            0.021691,            0.011404,           0.0070428,             0.95795,             0.92745,             0.97775,             0.82622,            0.019773,           0.0053036,           0.0063587,             0.00406,             0.00406,             0.00406
                  32,            0.021694,            0.011272,           0.0064231,             0.95554,             0.92596,             0.97505,             0.81986,            0.020293,           0.0053997,           0.0085018,            0.003862,            0.003862,            0.003862
                  33,            0.021812,            0.011361,           0.0061231,             0.95138,             0.92493,             0.97236,             0.81957,            0.020468,           0.0053992,            0.008265,            0.003664,            0.003664,            0.003664
                  34,            0.021045,            0.011034,           0.0065372,             0.95257,             0.93857,             0.97774,             0.82914,            0.019964,           0.0052614,           0.0073198,            0.003466,            0.003466,            0.003466
                  35,            0.020075,            0.010735,           0.0059851,             0.95806,             0.93118,             0.97443,             0.83605,             0.02018,           0.0051585,           0.0074187,            0.003268,            0.003268,            0.003268
                  36,            0.020257,            0.011062,           0.0056878,              0.9583,             0.93593,             0.97462,             0.84539,            0.019626,           0.0051783,           0.0070474,             0.00307,             0.00307,             0.00307
                  37,            0.019579,            0.010896,           0.0059926,             0.94404,             0.93929,             0.97909,              0.8455,            0.019058,           0.0050897,           0.0068773,            0.002872,            0.002872,            0.002872
                  38,            0.019541,            0.010856,           0.0058295,             0.95966,             0.93747,             0.97678,             0.84478,            0.019555,           0.0051345,           0.0073661,            0.002674,            0.002674,            0.002674
                  39,            0.018676,            0.010251,           0.0051312,             0.95226,             0.93914,             0.97386,             0.84301,            0.019471,           0.0051763,           0.0067302,            0.002476,            0.002476,            0.002476
                  40,            0.018584,            0.010328,           0.0046107,             0.96141,             0.94004,             0.97452,             0.84441,            0.019238,            0.005187,           0.0068653,            0.002278,            0.002278,            0.002278
                  41,            0.017943,            0.010199,            0.004684,             0.95817,             0.94976,             0.97533,             0.85333,            0.018686,           0.0049905,           0.0078165,             0.00208,             0.00208,             0.00208
                  42,            0.017847,            0.010065,           0.0044349,             0.95985,             0.93587,              0.9775,             0.85791,            0.018491,           0.0049331,           0.0072239,            0.001882,            0.001882,            0.001882
                  43,              0.0176,            0.010309,           0.0047681,             0.96307,             0.93254,             0.97902,             0.86206,            0.017585,           0.0048846,           0.0065802,            0.001684,            0.001684,            0.001684
                  44,            0.016509,           0.0099875,           0.0038081,             0.96291,              0.9461,             0.98077,             0.86181,            0.017747,           0.0048887,           0.0067597,            0.001486,            0.001486,            0.001486
                  45,            0.016751,           0.0098019,           0.0045398,             0.96452,             0.93971,             0.98035,             0.86285,             0.01801,           0.0048376,           0.0072877,            0.001288,            0.001288,            0.001288
                  46,            0.016733,           0.0093392,           0.0044746,             0.96294,             0.94031,             0.97953,             0.86658,            0.017494,           0.0048949,           0.0072825,             0.00109,             0.00109,             0.00109
                  47,            0.016887,           0.0097989,           0.0037117,              0.9619,             0.94363,             0.98073,             0.86576,            0.017332,           0.0048105,           0.0069473,            0.000892,            0.000892,            0.000892
                  48,            0.016309,           0.0095944,           0.0035213,             0.96029,              0.9471,              0.9809,             0.86649,            0.017623,           0.0048073,           0.0069619,            0.000694,            0.000694,            0.000694
                  49,            0.015594,           0.0094316,           0.0036374,             0.95595,             0.94927,             0.98228,             0.87037,            0.017155,           0.0048149,            0.007098,            0.000496,            0.000496,            0.000496
